バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性
Lincle,ANAGRAMS I to Y,NORMAL,4,456,NOTES
Lincle,ANAGRAMS I to Y,HYPER,7,849,NOTES
Lincle,ANAGRAMS I to Y,ANOTHER,9,1245,NOTES
CANNON BALLERS,ANCHOR,NORMAL,7,680,NOTES
CANNON BALLERS,ANCHOR,HYPER,10,1288,NOTES
CANNON BALLERS,ANCHOR,ANOTHER,12,1835,PEAK
SPADA,Ancient Scapes,NORMAL,6,602,PEAK
SPADA,Ancient Scapes,HYPER,10,1073,NOTES
SPADA,Ancient Scapes,ANOTHER,12,1780,NOTES
SPADA,Ancient Scapes,LEGGENDARIA,12,2198,NOTES
HEROIC VERSE,And-RoiD,NORMAL,4,373,PEAK
HEROIC VERSE,And-RoiD,HYPER,7,672,PEAK
HEROIC VERSE,And-RoiD,ANOTHER,9,1008,CHORD
IIDX RED,ANDROMEDA,NORMAL,5,517,NOTES
IIDX RED,ANDROMEDA,HYPER,8,973,NOTES
IIDX RED,ANDROMEDA,ANOTHER,11,1446,NOTES
GOLD,ANDROMEDA II,NORMAL,5,501,NOTES
GOLD,ANDROMEDA II,HYPER,9,982,NOTES
GOLD,ANDROMEDA II,ANOTHER,10,1255,NOTES
CastHour,ANEMONE,BEGINNER,1,111,PEAK
CastHour,ANEMONE,NORMAL,4,390,NOTES
CastHour,ANEMONE,HYPER,7,806,NOTES
CastHour,ANEMONE,ANOTHER,10,1069,NOTES
CastHour,Angel's Ladder,NORMAL,6,546,PEAK
CastHour,Angel's Ladder,HYPER,10,1170,NOTES
CastHour,Angel's Ladder,ANOTHER,12,1800,NOTES
copula,Angelic Jelly,NORMAL,6,,
copula,Angelic Jelly,HYPER,9,1058,NOTES
copula,Angelic Jelly,ANOTHER,11,1419,PEAK
Rootage,Angels & Demons,NORMAL,5,,
Rootage,Angels & Demons,HYPER,8,,
Rootage,Angels & Demons,ANOTHER,10,1233,CHORD
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",NORMAL,6,,
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",HYPER,10,1089,PEAK
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",ANOTHER,11,1443,CHORD
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",LEGGENDARIA,12,1971,CHORD
Resort Anthem,Answer,NORMAL,4,393,PEAK
Resort Anthem,Answer,HYPER,7,748,PEAK
Resort Anthem,Answer,ANOTHER,10,1224,NOTES
Resort Anthem,ANTHEM LANDING,NORMAL,5,489,PEAK
Resort Anthem,ANTHEM LANDING,HYPER,9,987,NOTES
Resort Anthem,ANTHEM LANDING,ANOTHER,11,1484,NOTES
CANNON BALLERS,Antigravity,NORMAL,6,535,NOTES
CANNON BALLERS,Antigravity,HYPER,10,1043,NOTES
CANNON BALLERS,Antigravity,ANOTHER,12,1591,NOTES
copula,AO-1,NORMAL,7,643,PEAK
copula,AO-1,HYPER,10,999,NOTES
copula,AO-1,ANOTHER,12,1443,NOTES
BISTROVER,apo:llioth,NORMAL,5,615,NOTES
BISTROVER,apo:llioth,HYPER,9,1053,NOTES
BISTROVER,apo:llioth,ANOTHER,11,1498,CHORD
SINOBUZ,Apocalypse,NORMAL,5,580,NOTES
SINOBUZ,Apocalypse,HYPER,9,1096,NOTES
SINOBUZ,Apocalypse,ANOTHER,12,1814,NOTES
DistorteD,Apocalypse ～dirge of swans～,BEGINNER,1,121,PEAK
DistorteD,Apocalypse ～dirge of swans～,NORMAL,5,510,PEAK
DistorteD,Apocalypse ～dirge of swans～,HYPER,9,921,PEAK
DistorteD,Apocalypse ～dirge of swans～,ANOTHER,10,1214,PEAK
EMPRESS,Arabian Rave Night,NORMAL,6,655,PEAK
EMPRESS,Arabian Rave Night,HYPER,10,1166,NOTES
EMPRESS,Arabian Rave Night,ANOTHER,11,1504,NOTES
EMPRESS,Arabian Rave Night,LEGGENDARIA,12,1888,NOTES
CANNON BALLERS,Arca,NORMAL,5,468,PEAK
CANNON BALLERS,Arca,HYPER,9,961,NOTES
CANNON BALLERS,Arca,ANOTHER,12,1602,PEAK
copula,Arcana,NORMAL,6,,
copula,Arcana,HYPER,8,,
copula,Arcana,ANOTHER,10,1150,CHARGE
CastHour,Ariah,NORMAL,4,361,PEAK
CastHour,Ariah,HYPER,7,753,NOTES
CastHour,Ariah,ANOTHER,10,1090,NOTES
CastHour,Arkadia,NORMAL,5,591,PEAK
CastHour,Arkadia,HYPER,9,1071,NOTES
CastHour,Arkadia,ANOTHER,12,1873,NOTES
CANNON BALLERS,Around the Future,NORMAL,6,561,PEAK
CANNON BALLERS,Around the Future,HYPER,9,892,PEAK
CANNON BALLERS,Around the Future,ANOTHER,11,1329,PEAK
HEROIC VERSE,Artist,NORMAL,7,660,NOTES
HEROIC VERSE,Artist,HYPER,10,1243,NOTES
HEROIC VERSE,Artist,ANOTHER,12,1870,NOTES
BISTROVER,As You Want,NORMAL,4,430,PEAK
BISTROVER,As You Want,HYPER,8,753,PEAK
BISTROVER,As You Want,ANOTHER,10,1246,NOTES
tricoro,Ascalon,NORMAL,5,569,PEAK
tricoro,Ascalon,HYPER,8,,
tricoro,Ascalon,ANOTHER,10,1171,NOTES
SINOBUZ,AsiaN distractive,NORMAL,5,606,NOTES
SINOBUZ,AsiaN distractive,HYPER,8,911,NOTES
SINOBUZ,AsiaN distractive,ANOTHER,11,1337,CHORD
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),NORMAL,5,545,NOTES
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),HYPER,9,964,NOTES
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),ANOTHER,12,1752,NOTES
10th style,ASTRAL VOYAGE,NORMAL,5,510,NOTES
10th style,ASTRAL VOYAGE,HYPER,6,727,NOTES
10th style,ASTRAL VOYAGE,ANOTHER,9,971,PEAK
INFINITAS,Astrogazer,NORMAL,5,,
INFINITAS,Astrogazer,HYPER,9,,
INFINITAS,Astrogazer,ANOTHER,11,1297,NOTES
copula,Aublia,NORMAL,5,495,NOTES
copula,Aublia,HYPER,8,785,PEAK
copula,Aublia,ANOTHER,11,1299,NOTES
HAPPY SKY,Aurora,NORMAL,7,714,PEAK
HAPPY SKY,Aurora,HYPER,10,1100,NOTES
HAPPY SKY,Aurora,ANOTHER,11,1280,PEAK
7th style,AVE DE RAPINA,NORMAL,6,713,PEAK
7th style,AVE DE RAPINA,HYPER,8,882,PEAK
7th style,AVE DE RAPINA,ANOTHER,9,934,PEAK
RESIDENT,AWA AWA,NORMAL,4,398,PEAK
RESIDENT,AWA AWA,HYPER,7,671,NOTES
RESIDENT,AWA AWA,ANOTHER,10,1169,NOTES
IIDX RED,awakening,NORMAL,5,553,PEAK
IIDX RED,awakening,HYPER,7,750,PEAK
IIDX RED,awakening,ANOTHER,10,866,PEAK
DistorteD,ay carumba!!!!,NORMAL,6,,
DistorteD,ay carumba!!!!,HYPER,9,,
DistorteD,ay carumba!!!!,ANOTHER,10,975,PEAK
RESIDENT,B.O.D.Y.,NORMAL,6,558,NOTES
RESIDENT,B.O.D.Y.,HYPER,10,1103,NOTES
RESIDENT,B.O.D.Y.,ANOTHER,12,1734,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),NORMAL,6,615,PEAK
EMPRESS,B4U(BEMANI FOR YOU MIX),HYPER,9,1205,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),ANOTHER,11,1810,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),LEGGENDARIA,12,2360,CHORD
10th style,BABY LOVE,NORMAL,6,,
10th style,BABY LOVE,HYPER,7,865,NOTES
10th style,BABY LOVE,ANOTHER,10,1089,PEAK
10th style,Back Into The Light,NORMAL,6,602,NOTES
10th style,Back Into The Light,HYPER,7,835,NOTES
10th style,Back Into The Light,ANOTHER,10,1086,NOTES
CANNON BALLERS,Back Spin Sweeper,NORMAL,6,438,SCRATCH
CANNON BALLERS,Back Spin Sweeper,HYPER,9,717,PEAK
CANNON BALLERS,Back Spin Sweeper,ANOTHER,11,1156,PEAK
HEROIC VERSE,Backyard Stars,NORMAL,6,540,PEAK
HEROIC VERSE,Backyard Stars,HYPER,9,844,PEAK
HEROIC VERSE,Backyard Stars,ANOTHER,10,1155,PEAK
RESIDENT,Bad Encryption,NORMAL,7,678,PEAK
RESIDENT,Bad Encryption,HYPER,10,1015,PEAK
RESIDENT,Bad Encryption,ANOTHER,12,1633,PEAK
SIRIUS,Bad Maniacs,NORMAL,7,667,PEAK
SIRIUS,Bad Maniacs,HYPER,10,989,PEAK
SIRIUS,Bad Maniacs,ANOTHER,12,1656,PEAK
7th style,Bad Routine,NORMAL,5,522,PEAK
7th style,Bad Routine,HYPER,7,716,PEAK
7th style,Bad Routine,ANOTHER,9,964,CHORD
9th style,bag,NORMAL,5,468,NOTES
9th style,bag,HYPER,6,,
9th style,bag,ANOTHER,10,963,NOTES
EMPRESS,Bahram Attack-猫叉Master Remix-,NORMAL,4,535,PEAK
EMPRESS,Bahram Attack-猫叉Master Remix-,HYPER,9,997,NOTES
EMPRESS,Bahram Attack-猫叉Master Remix-,ANOTHER,10,1314,PEAK
EMPRESS,Bahram Attack-猫叉Master Remix-,LEGGENDARIA,11,1640,CHORD
6th style,BALLAD FOR YOU～想いの雨～,NORMAL,4,297,PEAK
6th style,BALLAD FOR YOU～想いの雨～,HYPER,5,387,PEAK
6th style,BALLAD FOR YOU～想いの雨～,ANOTHER,7,537,PEAK
DistorteD,BALLAD THE FEATHERS,NORMAL,4,367,PEAK
DistorteD,BALLAD THE FEATHERS,HYPER,6,554,PEAK
DistorteD,BALLAD THE FEATHERS,ANOTHER,8,764,PEAK
Pinky Crush,Bang-Boo Bumble,NORMAL,5,,
Pinky Crush,Bang-Boo Bumble,HYPER,9,993,NOTES
Pinky Crush,Bang-Boo Bumble,ANOTHER,11,1479,CHORD
CastHour,Banger Banger Banger Banger,NORMAL,5,,
CastHour,Banger Banger Banger Banger,HYPER,9,,
CastHour,Banger Banger Banger Banger,ANOTHER,11,1497,NOTES
SIRIUS,bass 2 bass,BEGINNER,1,141,PEAK
SIRIUS,bass 2 bass,NORMAL,4,366,NOTES
SIRIUS,bass 2 bass,HYPER,7,638,NOTES
SIRIUS,bass 2 bass,ANOTHER,10,970,SCRATCH
copula,Battle Train -IIDX Edition-,NORMAL,4,454,NOTES
copula,Battle Train -IIDX Edition-,HYPER,10,1302,NOTES
copula,Battle Train -IIDX Edition-,ANOTHER,11,1687,NOTES
CANNON BALLERS,Battleground,NORMAL,6,595,NOTES
CANNON BALLERS,Battleground,HYPER,9,968,NOTES
CANNON BALLERS,Battleground,ANOTHER,11,1361,PEAK
CANNON BALLERS,Be a Hero!,NORMAL,4,394,NOTES
CANNON BALLERS,Be a Hero!,HYPER,9,1006,NOTES
CANNON BALLERS,Be a Hero!,ANOTHER,11,1592,NOTES
SINOBUZ,Be A Star,NORMAL,4,487,NOTES
SINOBUZ,Be A Star,HYPER,9,925,NOTES
SINOBUZ,Be A Star,ANOTHER,11,1413,CHORD
IIDX RED,Be quiet,NORMAL,5,559,PEAK
IIDX RED,Be quiet,HYPER,9,894,PEAK
IIDX RED,Be quiet,ANOTHER,11,1114,PEAK
IIDX RED,Be quiet,LEGGENDARIA,12,1463,SCRATCH
9th style,Be Rock U (1998 burst style),NORMAL,4,,
9th style,Be Rock U (1998 burst style),HYPER,7,691,PEAK
9th style,Be Rock U (1998 burst style),ANOTHER,9,936,PEAK
CANNON BALLERS,Beast mode,NORMAL,6,538,NOTES
CANNON BALLERS,Beast mode,HYPER,9,803,PEAK
CANNON BALLERS,Beast mode,ANOTHER,11,1395,PEAK
tricoro,Beastie Starter,NORMAL,3,272,PEAK
tricoro,Beastie Starter,HYPER,7,661,PEAK
tricoro,Beastie Starter,ANOTHER,11,1121,PEAK
SINOBUZ,Beat Juggling Mix,NORMAL,6,,
SINOBUZ,Beat Juggling Mix,HYPER,9,837,SCRATCH
SINOBUZ,Beat Juggling Mix,ANOTHER,11,1138,SCRATCH
SINOBUZ,Beat Juggling Mix,LEGGENDARIA,12,1363,SCRATCH
HEROIC VERSE,BEAT PRISONER,NORMAL,6,629,NOTES
HEROIC VERSE,BEAT PRISONER,HYPER,9,1083,CHARGE
HEROIC VERSE,BEAT PRISONER,ANOTHER,12,1844,CHARGE
PENDUAL,Beat Radiance,NORMAL,5,,
PENDUAL,Beat Radiance,HYPER,8,826,NOTES
PENDUAL,Beat Radiance,ANOTHER,10,1335,CHORD
PENDUAL,Beat Radiance,LEGGENDARIA,12,1809,CHORD
HEROIC VERSE,beatAffection,NORMAL,5,524,NOTES
HEROIC VERSE,beatAffection,HYPER,8,792,NOTES
HEROIC VERSE,beatAffection,ANOTHER,10,1341,CHORD
DJ TROOPERS,beatonic nation,NORMAL,5,640,PEAK
DJ TROOPERS,beatonic nation,HYPER,8,955,NOTES
DJ TROOPERS,beatonic nation,ANOTHER,9,1093,PEAK
SIRIUS,being torn the sky,NORMAL,4,331,PEAK
SIRIUS,being torn the sky,HYPER,7,,
SIRIUS,being torn the sky,ANOTHER,10,998,CHORD
Resort Anthem,Believe In Me,NORMAL,5,533,PEAK
Resort Anthem,Believe In Me,HYPER,9,962,PEAK
Resort Anthem,Believe In Me,ANOTHER,11,1213,NOTES
SINOBUZ,Believe in you,NORMAL,5,604,NOTES
SINOBUZ,Believe in you,HYPER,8,955,NOTES
SINOBUZ,Believe in you,ANOTHER,10,1226,CHORD
BISTROVER,BEMANI PRO LEAGUE Theme,NORMAL,4,393,NOTES
BISTROVER,BEMANI PRO LEAGUE Theme,HYPER,7,712,NOTES
BISTROVER,BEMANI PRO LEAGUE Theme,ANOTHER,9,996,NOTES
CANNON BALLERS,Best of Me,NORMAL,4,413,NOTES
CANNON BALLERS,Best of Me,HYPER,8,,
CANNON BALLERS,Best of Me,ANOTHER,10,1127,PEAK
RESIDENT,Beyond Evolution,NORMAL,7,753,PEAK
RESIDENT,Beyond Evolution,HYPER,11,1332,PEAK
RESIDENT,Beyond Evolution,ANOTHER,12,2216,PEAK
PENDUAL,Beyond The Earth,NORMAL,5,668,PEAK
PENDUAL,Beyond The Earth,HYPER,10,1102,PEAK
PENDUAL,Beyond The Earth,ANOTHER,11,1646,CHORD
SINOBUZ,Beyond The Seven,NORMAL,4,373,PEAK
SINOBUZ,Beyond The Seven,HYPER,7,671,PEAK
SINOBUZ,Beyond The Seven,ANOTHER,11,1375,CHORD
BISTROVER,BIGソムタム,BEGINNER,3,284,PEAK
BISTROVER,BIGソムタム,NORMAL,7,639,NOTES
BISTROVER,BIGソムタム,HYPER,9,964,NOTES
BISTROVER,BIGソムタム,ANOTHER,12,1688,CHARGE
RESIDENT,BIGWAVERS,NORMAL,6,587,NOTES
RESIDENT,BIGWAVERS,HYPER,9,963,NOTES
RESIDENT,BIGWAVERS,ANOTHER,12,1796,CHORD
CastHour,Binary Black Hole,NORMAL,6,681,PEAK
CastHour,Binary Black Hole,HYPER,10,1174,PEAK
CastHour,Binary Black Hole,ANOTHER,12,2000,PEAK
8th style,bit mania,NORMAL,4,458,NOTES
8th style,bit mania,HYPER,5,643,CHORD
8th style,bit mania,ANOTHER,8,934,CHORD
EPOLIS,Bitter & Lucky,NORMAL,4,443,NOTES
EPOLIS,Bitter & Lucky,HYPER,7,704,NOTES
EPOLIS,Bitter & Lucky,ANOTHER,10,1287,NOTES
