バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性
Rootage,AGAiN,NORMAL,6,565,NOTES
Rootage,AGAiN,HYPER,8,842,NOTES
Rootage,AGAiN,ANOTHER,10,1195,NOTES
IIDX RED,AGEHA,NORMAL,5,464,PEAK
IIDX RED,AGEHA,HYPER,7,689,PEAK
IIDX RED,AGEHA,ANOTHER,8,903,PEAK
IIDX RED,AGEHA,LEGGENDARIA,11,1460,PEAK
HAPPY SKY,Agnus Dei,NORMAL,5,465,SOF-LAN
HAPPY SKY,Agnus Dei,HYPER,8,791,PEAK
HAPPY SKY,Agnus Dei,ANOTHER,11,1051,SOF-LAN
BISTROVER,Ah Hah Yeah,NORMAL,4,363,SOF-LAN
BISTROVER,Ah Hah Yeah,HYPER,8,728,SOF-LAN
BISTROVER,Ah Hah Yeah,ANOTHER,11,1098,PEAK
GOLD,Air Bell,NORMAL,5,455,PEAK
GOLD,Air Bell,HYPER,7,642,PEAK
GOLD,Air Bell,ANOTHER,8,794,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,NORMAL,6,587,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,HYPER,9,944,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,ANOTHER,11,1225,NOTES
SIRIUS,AIR RAID FROM THA UNDAGROUND,LEGGENDARIA,12,1503,PEAK
8th style,airflow,NORMAL,3,293,SOF-LAN
8th style,airflow,HYPER,6,402,SOF-LAN
8th style,airflow,ANOTHER,7,721,PEAK
INFINITAS,airflow -dreaming of the sky- Game Edition,NORMAL,4,,
INFINITAS,airflow -dreaming of the sky- Game Edition,HYPER,7,659,SOF-LAN
INFINITAS,airflow -dreaming of the sky- Game Edition,ANOTHER,9,911,SOF-LAN
HEROIC VERSE,AKASHIC BREAK,NORMAL,7,652,NOTES
HEROIC VERSE,AKASHIC BREAK,HYPER,10,1177,NOTES
HEROIC VERSE,AKASHIC BREAK,ANOTHER,12,1767,CHORD
SPADA,ALBA -黎明-,NORMAL,4,398,PEAK
SPADA,ALBA -黎明-,HYPER,8,820,PEAK
SPADA,ALBA -黎明-,ANOTHER,11,1600,CHORD
Resort Anthem,ALBIDA,NORMAL,6,568,NOTES
Resort Anthem,ALBIDA,HYPER,9,958,NOTES
Resort Anthem,ALBIDA,ANOTHER,11,1393,NOTES
DistorteD,ALFARSHEAR 双神威に廻る夢,NORMAL,6,,
DistorteD,ALFARSHEAR 双神威に廻る夢,HYPER,9,838,NOTES
DistorteD,ALFARSHEAR 双神威に廻る夢,ANOTHER,10,1043,PEAK
EMPRESS,ALL I NEED YOUR LOVE,NORMAL,6,559,SCRATCH
EMPRESS,ALL I NEED YOUR LOVE,HYPER,7,,
EMPRESS,ALL I NEED YOUR LOVE,ANOTHER,9,1081,PEAK
SPADA,All is Wrecked,NORMAL,5,451,PEAK
SPADA,All is Wrecked,HYPER,8,768,NOTES
SPADA,All is Wrecked,ANOTHER,12,1411,NOTES
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,NORMAL,6,606,PEAK
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,HYPER,9,944,PEAK
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,ANOTHER,11,1224,PEAK
INFINITAS,ALL OK!!,NORMAL,6,,
INFINITAS,ALL OK!!,HYPER,10,,
INFINITAS,ALL OK!!,ANOTHER,12,1590,CHORD
8th style,ALL RIGHT,NORMAL,7,501,PEAK
8th style,ALL RIGHT,HYPER,8,720,PEAK
8th style,ALL RIGHT,ANOTHER,10,860,PEAK
HAPPY SKY,alla turca con passione,NORMAL,4,396,NOTES
HAPPY SKY,alla turca con passione,HYPER,8,831,NOTES
HAPPY SKY,alla turca con passione,ANOTHER,10,1057,NOTES
Lincle,Almace,NORMAL,4,431,NOTES
Lincle,Almace,HYPER,8,,
Lincle,Almace,ANOTHER,11,1153,PEAK
SIRIUS,Almagest,NORMAL,6,506,NOTES
SIRIUS,Almagest,HYPER,11,1117,NOTES
SIRIUS,Almagest,ANOTHER,12,1764,PEAK
CANNON BALLERS,Alpheratz,NORMAL,3,281,PEAK
CANNON BALLERS,Alpheratz,HYPER,5,574,PEAK
CANNON BALLERS,Alpheratz,ANOTHER,9,1023,CHARGE
CastHour,ALTERNATOR,NORMAL,7,715,NOTES
CastHour,ALTERNATOR,HYPER,10,1296,CHORD
CastHour,ALTERNATOR,ANOTHER,12,1941,CHORD
RESIDENT,Always We Trust In You,NORMAL,6,630,PEAK
RESIDENT,Always We Trust In You,HYPER,9,925,PEAK
RESIDENT,Always We Trust In You,ANOTHER,12,1692,NOTES
INFINITAS,Amabie,NORMAL,4,,
INFINITAS,Amabie,HYPER,8,897,NOTES
INFINITAS,Amabie,ANOTHER,10,1186,NOTES
SINOBUZ,Amazing Mirage,NORMAL,5,459,PEAK
SINOBUZ,Amazing Mirage,HYPER,9,,
SINOBUZ,Amazing Mirage,ANOTHER,11,1413,PEAK
SINOBUZ,Amazing Mirage,LEGGENDARIA,12,1671,NOTES
RESIDENT,Ambush Ace,NORMAL,5,528,NOTES
RESIDENT,Ambush Ace,HYPER,9,959,NOTES
RESIDENT,Ambush Ace,ANOTHER,11,1477,NOTES
EPOLIS,Amethyst,NORMAL,6,643,PEAK
EPOLIS,Amethyst,HYPER,9,953,NOTES
EPOLIS,Amethyst,ANOTHER,11,1248,NOTES
CastHour,AMICABLE,NORMAL,5,533,PEAK
CastHour,AMICABLE,HYPER,8,811,PEAK
CastHour,AMICABLE,ANOTHER,10,1242,CHORD
PENDUAL,Amnolys,NORMAL,6,556,PEAK
PENDUAL,Amnolys,HYPER,9,909,PEAK
PENDUAL,Amnolys,ANOTHER,11,1254,CHORD
CANNON BALLERS,Amor De Verao,NORMAL,5,452,SCRATCH
CANNON BALLERS,Amor De Verao,HYPER,8,729,NOTES
CANNON BALLERS,Amor De Verao,ANOTHER,11,1206,PEAK
BISTROVER,AMRITA -不滅ノ花-,NORMAL,4,455,NOTES
BISTROVER,AMRITA -不滅ノ花-,HYPER,8,806,NOTES
BISTROVER,AMRITA -不滅ノ花-,ANOTHER,11,1327,NOTES
CANNON BALLERS,ANAGMA,NORMAL,5,520,NOTES
CANNON BALLERS,ANAGMA,HYPER,8,952,NOTES
CANNON BALLERS,ANAGMA,ANOTHER,10,1327,NOTES
Lincle,ANAGRAMS I to Y,NORMAL,4,437,PEAK
Lincle,ANAGRAMS I to Y,HYPER,8,863,PEAK
Lincle,ANAGRAMS I to Y,ANOTHER,9,1233,CHORD
CANNON BALLERS,ANCHOR,NORMAL,7,678,NOTES
CANNON BALLERS,ANCHOR,HYPER,10,1265,NOTES
CANNON BALLERS,ANCHOR,ANOTHER,12,1830,NOTES
SPADA,Ancient Scapes,NORMAL,6,637,PEAK
SPADA,Ancient Scapes,HYPER,10,1254,PEAK
SPADA,Ancient Scapes,ANOTHER,12,1931,NOTES
SPADA,Ancient Scapes,LEGGENDARIA,12,2285,NOTES
HEROIC VERSE,And-RoiD,NORMAL,4,384,PEAK
HEROIC VERSE,And-RoiD,HYPER,7,682,PEAK
HEROIC VERSE,And-RoiD,ANOTHER,9,985,CHORD
IIDX RED,ANDROMEDA,NORMAL,4,512,PEAK
IIDX RED,ANDROMEDA,HYPER,9,1109,NOTES
IIDX RED,ANDROMEDA,ANOTHER,11,1568,NOTES
GOLD,ANDROMEDA II,NORMAL,5,534,NOTES
GOLD,ANDROMEDA II,HYPER,10,1084,PEAK
CastHour,ANEMONE,NORMAL,4,403,NOTES
CastHour,ANEMONE,HYPER,7,839,NOTES
CastHour,ANEMONE,ANOTHER,10,1175,CHORD
CastHour,Angel's Ladder,NORMAL,6,617,PEAK
CastHour,Angel's Ladder,HYPER,10,1257,NOTES
CastHour,Angel's Ladder,ANOTHER,12,1800,NOTES
copula,Angelic Jelly,NORMAL,6,592,NOTES
copula,Angelic Jelly,HYPER,9,1019,NOTES
copula,Angelic Jelly,ANOTHER,11,1447,PEAK
Rootage,Angels & Demons,NORMAL,5,500,PEAK
Rootage,Angels & Demons,HYPER,8,897,PEAK
Rootage,Angels & Demons,ANOTHER,10,1227,CHORD
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",NORMAL,6,637,PEAK
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",HYPER,10,1291,PEAK
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",ANOTHER,12,1603,CHORD
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",LEGGENDARIA,12,1956,CHORD
Resort Anthem,Answer,NORMAL,5,463,NOTES
Resort Anthem,Answer,HYPER,7,738,PEAK
Resort Anthem,Answer,ANOTHER,9,1142,NOTES
Resort Anthem,ANTHEM LANDING,NORMAL,6,555,PEAK
Resort Anthem,ANTHEM LANDING,HYPER,10,1164,NOTES
Resort Anthem,ANTHEM LANDING,ANOTHER,11,1258,PEAK
CANNON BALLERS,Antigravity,NORMAL,6,558,NOTES
CANNON BALLERS,Antigravity,HYPER,9,1001,NOTES
CANNON BALLERS,Antigravity,ANOTHER,12,1467,NOTES
copula,AO-1,NORMAL,7,671,NOTES
copula,AO-1,HYPER,10,1087,NOTES
copula,AO-1,ANOTHER,12,1456,PEAK
BISTROVER,apo:llioth,NORMAL,5,616,NOTES
BISTROVER,apo:llioth,HYPER,9,1065,NOTES
BISTROVER,apo:llioth,ANOTHER,11,1511,CHORD
SINOBUZ,Apocalypse,NORMAL,5,580,NOTES
SINOBUZ,Apocalypse,HYPER,9,1081,NOTES
SINOBUZ,Apocalypse,ANOTHER,12,1953,CHORD
DistorteD,Apocalypse ～dirge of swans～,NORMAL,5,480,PEAK
DistorteD,Apocalypse ～dirge of swans～,HYPER,8,981,PEAK
DistorteD,Apocalypse ～dirge of swans～,ANOTHER,11,1270,PEAK
EMPRESS,Arabian Rave Night,NORMAL,6,655,PEAK
EMPRESS,Arabian Rave Night,HYPER,10,1161,NOTES
EMPRESS,Arabian Rave Night,ANOTHER,11,1605,NOTES
EMPRESS,Arabian Rave Night,LEGGENDARIA,12,1991,NOTES
CANNON BALLERS,Arca,NORMAL,5,485,PEAK
CANNON BALLERS,Arca,HYPER,9,975,NOTES
CANNON BALLERS,Arca,ANOTHER,12,1606,NOTES
copula,Arcana,NORMAL,6,605,NOTES
copula,Arcana,HYPER,8,913,NOTES
copula,Arcana,ANOTHER,10,1172,NOTES
CastHour,Ariah,NORMAL,4,,
CastHour,Ariah,HYPER,7,733,NOTES
CastHour,Ariah,ANOTHER,10,1060,NOTES
CastHour,Arkadia,NORMAL,5,584,PEAK
CastHour,Arkadia,HYPER,9,1071,NOTES
CastHour,Arkadia,ANOTHER,12,1872,NOTES
CANNON BALLERS,Around the Future,NORMAL,6,570,PEAK
CANNON BALLERS,Around the Future,HYPER,9,942,PEAK
CANNON BALLERS,Around the Future,ANOTHER,11,1385,PEAK
HEROIC VERSE,Artist,NORMAL,7,665,NOTES
HEROIC VERSE,Artist,HYPER,10,1252,PEAK
HEROIC VERSE,Artist,ANOTHER,12,1923,NOTES
BISTROVER,As You Want,NORMAL,4,437,PEAK
BISTROVER,As You Want,HYPER,8,750,PEAK
BISTROVER,As You Want,ANOTHER,10,1063,PEAK
tricoro,Ascalon,NORMAL,6,649,PEAK
tricoro,Ascalon,HYPER,9,1031,NOTES
tricoro,Ascalon,ANOTHER,11,1448,CHORD
SINOBUZ,AsiaN distractive,NORMAL,6,617,NOTES
SINOBUZ,AsiaN distractive,HYPER,9,922,PEAK
SINOBUZ,AsiaN distractive,ANOTHER,11,1385,CHORD
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),NORMAL,5,568,PEAK
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),HYPER,9,949,NOTES
BISTROVER,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),ANOTHER,12,1687,NOTES
10th style,ASTRAL VOYAGE,NORMAL,5,523,NOTES
10th style,ASTRAL VOYAGE,HYPER,9,731,NOTES
10th style,ASTRAL VOYAGE,ANOTHER,10,1087,PEAK
INFINITAS,Astrogazer,NORMAL,6,,
INFINITAS,Astrogazer,HYPER,9,949,NOTES
INFINITAS,Astrogazer,ANOTHER,11,1335,NOTES
copula,Aublia,NORMAL,5,513,PEAK
copula,Aublia,HYPER,8,836,PEAK
copula,Aublia,ANOTHER,11,1262,PEAK
HAPPY SKY,Aurora,NORMAL,7,675,PEAK
HAPPY SKY,Aurora,HYPER,10,1043,PEAK
HAPPY SKY,Aurora,ANOTHER,11,1218,PEAK
7th style,AVE DE RAPINA,NORMAL,8,948,PEAK
7th style,AVE DE RAPINA,HYPER,10,1113,PEAK
RESIDENT,AWA AWA,NORMAL,4,405,PEAK
RESIDENT,AWA AWA,HYPER,7,705,NOTES
RESIDENT,AWA AWA,ANOTHER,10,1237,PEAK
IIDX RED,awakening,NORMAL,5,546,PEAK
IIDX RED,awakening,HYPER,7,746,PEAK
IIDX RED,awakening,ANOTHER,9,873,PEAK
DistorteD,ay carumba!!!!,NORMAL,6,520,PEAK
DistorteD,ay carumba!!!!,HYPER,9,820,PEAK
RESIDENT,B.O.D.Y.,NORMAL,6,608,NOTES
RESIDENT,B.O.D.Y.,HYPER,10,1067,NOTES
RESIDENT,B.O.D.Y.,ANOTHER,12,1661,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),NORMAL,7,764,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),HYPER,9,1189,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),ANOTHER,11,1519,NOTES
EMPRESS,B4U(BEMANI FOR YOU MIX),LEGGENDARIA,12,1986,CHORD
10th style,BABY LOVE,NORMAL,6,596,PEAK
10th style,BABY LOVE,HYPER,7,779,PEAK
10th style,BABY LOVE,ANOTHER,11,1159,CHORD
10th style,Back Into The Light,NORMAL,6,621,NOTES
10th style,Back Into The Light,HYPER,9,828,NOTES
10th style,Back Into The Light,ANOTHER,10,1160,NOTES
CANNON BALLERS,Back Spin Sweeper,NORMAL,6,442,SCRATCH
CANNON BALLERS,Back Spin Sweeper,HYPER,9,778,PEAK
CANNON BALLERS,Back Spin Sweeper,ANOTHER,11,1205,PEAK
HEROIC VERSE,Backyard Stars,NORMAL,6,543,PEAK
HEROIC VERSE,Backyard Stars,HYPER,9,838,PEAK
HEROIC VERSE,Backyard Stars,ANOTHER,11,1222,PEAK
RESIDENT,Bad Encryption,NORMAL,7,692,PEAK
RESIDENT,Bad Encryption,HYPER,10,998,PEAK
RESIDENT,Bad Encryption,ANOTHER,12,1614,PEAK
SIRIUS,Bad Maniacs,NORMAL,7,573,PEAK
SIRIUS,Bad Maniacs,HYPER,10,1074,PEAK
SIRIUS,Bad Maniacs,ANOTHER,12,1606,PEAK
7th style,Bad Routine,NORMAL,6,566,PEAK
7th style,Bad Routine,HYPER,7,716,PEAK
7th style,Bad Routine,ANOTHER,9,1042,CHORD
9th style,bag,NORMAL,6,636,NOTES
9th style,bag,HYPER,9,912,NOTES
9th style,bag,ANOTHER,10,1023,NOTES
EMPRESS,Bahram Attack-猫叉Master Remix-,NORMAL,5,618,PEAK
EMPRESS,Bahram Attack-猫叉Master Remix-,HYPER,9,1051,NOTES
EMPRESS,Bahram Attack-猫叉Master Remix-,ANOTHER,11,1443,CHORD
EMPRESS,Bahram Attack-猫叉Master Remix-,LEGGENDARIA,11,1709,CHORD
6th style,BALLAD FOR YOU～想いの雨～,NORMAL,5,375,NOTES
6th style,BALLAD FOR YOU～想いの雨～,HYPER,8,546,PEAK
DistorteD,BALLAD THE FEATHERS,NORMAL,5,357,PEAK
DistorteD,BALLAD THE FEATHERS,HYPER,8,560,PEAK
Pinky Crush,Bang-Boo Bumble,NORMAL,5,573,PEAK
Pinky Crush,Bang-Boo Bumble,HYPER,9,989,PEAK
Pinky Crush,Bang-Boo Bumble,ANOTHER,11,1480,PEAK
CastHour,Banger Banger Banger Banger,NORMAL,6,580,SCRATCH
CastHour,Banger Banger Banger Banger,HYPER,9,919,SCRATCH
CastHour,Banger Banger Banger Banger,ANOTHER,11,1573,PEAK
SIRIUS,bass 2 bass,NORMAL,5,472,PEAK
SIRIUS,bass 2 bass,HYPER,7,888,CHORD
SIRIUS,bass 2 bass,ANOTHER,10,1085,SCRATCH
copula,Battle Train -IIDX Edition-,NORMAL,6,714,NOTES
copula,Battle Train -IIDX Edition-,HYPER,9,1218,NOTES
copula,Battle Train -IIDX Edition-,ANOTHER,12,1949,NOTES
CANNON BALLERS,Battleground,NORMAL,6,587,NOTES
CANNON BALLERS,Battleground,HYPER,9,900,NOTES
CANNON BALLERS,Battleground,ANOTHER,11,1304,CHORD
CANNON BALLERS,Be a Hero!,NORMAL,5,494,PEAK
CANNON BALLERS,Be a Hero!,HYPER,9,921,NOTES
CANNON BALLERS,Be a Hero!,ANOTHER,11,1627,NOTES
SINOBUZ,Be A Star,NORMAL,5,518,NOTES
SINOBUZ,Be A Star,HYPER,8,897,NOTES
SINOBUZ,Be A Star,ANOTHER,11,1334,CHORD
IIDX RED,Be quiet,NORMAL,6,558,PEAK
IIDX RED,Be quiet,HYPER,8,861,PEAK
IIDX RED,Be quiet,ANOTHER,11,1055,PEAK
IIDX RED,Be quiet,LEGGENDARIA,12,1614,CHORD
9th style,Be Rock U (1998 burst style),NORMAL,4,442,SCRATCH
9th style,Be Rock U (1998 burst style),HYPER,7,691,PEAK
CANNON BALLERS,Beast mode,NORMAL,6,533,NOTES
CANNON BALLERS,Beast mode,HYPER,9,838,PEAK
CANNON BALLERS,Beast mode,ANOTHER,11,1445,CHORD
tricoro,Beastie Starter,NORMAL,3,272,PEAK
tricoro,Beastie Starter,HYPER,7,667,PEAK
tricoro,Beastie Starter,ANOTHER,11,1100,PEAK
SINOBUZ,Beat Juggling Mix,NORMAL,6,533,SCRATCH
SINOBUZ,Beat Juggling Mix,HYPER,9,859,SCRATCH
SINOBUZ,Beat Juggling Mix,ANOTHER,11,1171,SCRATCH
SINOBUZ,Beat Juggling Mix,LEGGENDARIA,12,1406,SCRATCH
HEROIC VERSE,BEAT PRISONER,NORMAL,7,628,NOTES
HEROIC VERSE,BEAT PRISONER,HYPER,9,1075,NOTES
HEROIC VERSE,BEAT PRISONER,ANOTHER,12,1752,CHARGE
PENDUAL,Beat Radiance,NORMAL,5,420,NOTES
PENDUAL,Beat Radiance,HYPER,8,716,NOTES
PENDUAL,Beat Radiance,ANOTHER,10,1354,CHORD
PENDUAL,Beat Radiance,LEGGENDARIA,12,1887,CHORD
HEROIC VERSE,beatAffection,NORMAL,5,522,PEAK
HEROIC VERSE,beatAffection,HYPER,8,730,PEAK
HEROIC VERSE,beatAffection,ANOTHER,10,1232,NOTES
DJ TROOPERS,beatonic nation,NORMAL,5,664,PEAK
DJ TROOPERS,beatonic nation,HYPER,7,999,NOTES
DJ TROOPERS,beatonic nation,ANOTHER,10,1259,CHORD
SIRIUS,being torn the sky,NORMAL,3,278,NOTES
SIRIUS,being torn the sky,HYPER,7,555,NOTES
SIRIUS,being torn the sky,ANOTHER,9,864,CHORD
Resort Anthem,Believe In Me,NORMAL,5,502,NOTES
Resort Anthem,Believe In Me,HYPER,9,916,NOTES
Resort Anthem,Believe In Me,ANOTHER,11,1200,NOTES
SINOBUZ,Believe in you,NORMAL,6,582,NOTES
SINOBUZ,Believe in you,HYPER,8,924,NOTES
SINOBUZ,Believe in you,ANOTHER,10,1251,CHORD
BISTROVER,BEMANI PRO LEAGUE Theme,NORMAL,5,495,NOTES
BISTROVER,BEMANI PRO LEAGUE Theme,HYPER,7,717,NOTES
BISTROVER,BEMANI PRO LEAGUE Theme,ANOTHER,9,1024,NOTES
CANNON BALLERS,Best of Me,NORMAL,4,409,NOTES
CANNON BALLERS,Best of Me,HYPER,8,761,NOTES
CANNON BALLERS,Best of Me,ANOTHER,10,1121,PEAK
RESIDENT,Beyond Evolution,NORMAL,7,777,PEAK
RESIDENT,Beyond Evolution,HYPER,11,1364,PEAK
RESIDENT,Beyond Evolution,ANOTHER,12,2137,PEAK
PENDUAL,Beyond The Earth,NORMAL,6,748,PEAK
PENDUAL,Beyond The Earth,HYPER,9,1214,PEAK
PENDUAL,Beyond The Earth,ANOTHER,11,1494,CHORD
SINOBUZ,Beyond The Seven,NORMAL,4,472,PEAK
SINOBUZ,Beyond The Seven,HYPER,8,733,NOTES
SINOBUZ,Beyond The Seven,ANOTHER,11,1387,CHORD
BISTROVER,BIGソムタム,NORMAL,7,720,NOTES
BISTROVER,BIGソムタム,HYPER,10,1036,NOTES
BISTROVER,BIGソムタム,ANOTHER,12,1714,CHARGE
RESIDENT,BIGWAVERS,NORMAL,6,599,NOTES
RESIDENT,BIGWAVERS,HYPER,9,1042,NOTES
RESIDENT,BIGWAVERS,ANOTHER,12,1777,CHORD
CastHour,Binary Black Hole,NORMAL,6,684,PEAK
CastHour,Binary Black Hole,HYPER,10,1220,PEAK
CastHour,Binary Black Hole,ANOTHER,12,2000,PEAK
8th style,bit mania,NORMAL,5,536,NOTES
8th style,bit mania,HYPER,6,643,CHORD
EPOLIS,Bitter & Lucky,NORMAL,4,456,NOTES
EPOLIS,Bitter & Lucky,HYPER,8,873,NOTES
EPOLIS,Bitter & Lucky,ANOTHER,10,1369,NOTES
EMPRESS,BITTER CHOCOLATE STRIKER,NORMAL,5,564,SCRATCH
EMPRESS,BITTER CHOCOLATE STRIKER,HYPER,10,1141,NOTES
EMPRESS,BITTER CHOCOLATE STRIKER,ANOTHER,11,1574,CHORD
INFINITAS,Black Apple,NORMAL,5,598,NOTES
INFINITAS,Black Apple,HYPER,8,870,CHARGE
INFINITAS,Black Apple,ANOTHER,11,1438,CHARGE
Rootage,BLACK JACKAL,NORMAL,5,428,NOTES
Rootage,BLACK JACKAL,HYPER,8,813,NOTES
Rootage,BLACK JACKAL,ANOTHER,10,1138,PEAK
BISTROVER,BLACK or WHITE?,NORMAL,7,715,PEAK
BISTROVER,BLACK or WHITE?,HYPER,10,1252,PEAK
BISTROVER,BLACK or WHITE?,ANOTHER,12,1960,NOTES
Lincle,BLACK.by X-Cross Fade,NORMAL,6,547,SCRATCH
Lincle,BLACK.by X-Cross Fade,HYPER,10,1201,SCRATCH
Lincle,BLACK.by X-Cross Fade,ANOTHER,12,1761,SCRATCH
PENDUAL,Blaze it UP!,NORMAL,5,564,PEAK
