バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性,カテゴリ
EPOLIS,ACT0,モリモリあつし,ANOTHER,12,1606,NOTES,楽曲パック vol.27
Pinky Crush,ADAMANT,"BEMANI Sound Team ""L.E.D.-G""",NORMAL,6,580,NOTES,楽曲パック vol.29
Pinky Crush,ADAMANT,"BEMANI Sound Team ""L.E.D.-G""",HYPER,9,995,PEAK,楽曲パック vol.29
Pinky Crush,ADAMANT,"BEMANI Sound Team ""L.E.D.-G""",ANOTHER,11,1525,CHARGE,楽曲パック vol.29
SPADA,Adularia,DJ TOTTO,NORMAL,6,524,PEAK,楽曲パック vol.7
SPADA,Adularia,DJ TOTTO,HYPER,10,946,PEAK,楽曲パック vol.7
SPADA,Adularia,DJ TOTTO,ANOTHER,12,1382,CHARGE,楽曲パック vol.7
9th style,ADVANCE,SLAKE,NORMAL,5,370,PEAK,BIT解禁曲
9th style,ADVANCE,SLAKE,HYPER,6,,,BIT解禁曲
9th style,ADVANCE,SLAKE,ANOTHER,7,620,NOTES,BIT解禁曲
HEROIC VERSE,Advent Infamous,Blacklolita,NORMAL,5,503,PEAK,BIT解禁曲
HEROIC VERSE,Advent Infamous,Blacklolita,HYPER,8,854,NOTES,BIT解禁曲
HEROIC VERSE,Advent Infamous,Blacklolita,ANOTHER,11,1430,PEAK,BIT解禁曲
Resort Anthem,Aegis,IT medalion,NORMAL,5,444,PEAK,BIT解禁曲
Resort Anthem,Aegis,IT medalion,HYPER,8,728,PEAK,BIT解禁曲
Resort Anthem,Aegis,IT medalion,ANOTHER,10,1109,PEAK,BIT解禁曲
INFINITAS,Aerial Skydive,Dirty Androids,NORMAL,5,,,楽曲パック vol.28
INFINITAS,Aerial Skydive,Dirty Androids,HYPER,8,842,NOTES,楽曲パック vol.28
INFINITAS,Aerial Skydive,Dirty Androids,ANOTHER,10,1259,NOTES,楽曲パック vol.28
EPOLIS,Aeterna,satella feat. Risa Yuzuki,NORMAL,4,507,NOTES,楽曲パック vol.27
EPOLIS,Aeterna,satella feat. Risa Yuzuki,HYPER,8,789,NOTES,楽曲パック vol.27
EPOLIS,Aeterna,satella feat. Risa Yuzuki,ANOTHER,11,1258,CHORD,楽曲パック vol.27
SINOBUZ,Affection,ni-21,NORMAL,3,,,楽曲パック vol.12
SINOBUZ,Affection,ni-21,HYPER,6,634,NOTES,楽曲パック vol.12
SINOBUZ,Affection,ni-21,ANOTHER,10,1163,NOTES,楽曲パック vol.12
PENDUAL,AFRO KNUCKLE,猫叉Master+,NORMAL,5,446,PEAK,楽曲パック vol.9
PENDUAL,AFRO KNUCKLE,猫叉Master+,HYPER,9,920,PEAK,楽曲パック vol.9
PENDUAL,AFRO KNUCKLE,猫叉Master+,ANOTHER,11,1320,PEAK,楽曲パック vol.9
Rootage,Afterimage d'automne,"BEMANI Sound Team ""猫叉劇団""",NORMAL,6,525,PEAK,楽曲パック vol.18
Rootage,Afterimage d'automne,"BEMANI Sound Team ""猫叉劇団""",HYPER,9,913,PEAK,楽曲パック vol.18
Rootage,Afterimage d'automne,"BEMANI Sound Team ""猫叉劇団""",ANOTHER,12,1554,CHARGE,楽曲パック vol.18
CastHour,Aftermath,"BEMANI Sound Team ""猫叉Master & あさき & Yvya""",NORMAL,6,595,PEAK,楽曲パック vol.23
CastHour,Aftermath,"BEMANI Sound Team ""猫叉Master & あさき & Yvya""",HYPER,10,1257,NOTES,楽曲パック vol.23
CastHour,Aftermath,"BEMANI Sound Team ""猫叉Master & あさき & Yvya""",ANOTHER,12,1777,CHARGE,楽曲パック vol.23
Rootage,AGAiN,DJ NAGAI,NORMAL,6,565,NOTES,楽曲パック vol.17
Rootage,AGAiN,DJ NAGAI,HYPER,8,842,NOTES,楽曲パック vol.17
Rootage,AGAiN,DJ NAGAI,ANOTHER,10,1195,NOTES,楽曲パック vol.17
IIDX RED,AGEHA,Ryu☆,NORMAL,5,464,PEAK,BIT解禁曲
IIDX RED,AGEHA,Ryu☆,HYPER,7,689,PEAK,BIT解禁曲
IIDX RED,AGEHA,Ryu☆,ANOTHER,8,903,PEAK,BIT解禁曲
IIDX RED,AGEHA,Ryu☆,LEGGENDARIA,11,1460,PEAK,BIT解禁曲
HAPPY SKY,Agnus Dei,あさき,NORMAL,5,465,SOF-LAN,BIT解禁曲
HAPPY SKY,Agnus Dei,あさき,HYPER,8,791,PEAK,BIT解禁曲
HAPPY SKY,Agnus Dei,あさき,ANOTHER,11,1051,SOF-LAN,BIT解禁曲
BISTROVER,Ah Hah Yeah,Masayoshi Iimori,NORMAL,4,363,SOF-LAN,BIT解禁曲
BISTROVER,Ah Hah Yeah,Masayoshi Iimori,HYPER,8,728,SOF-LAN,BIT解禁曲
BISTROVER,Ah Hah Yeah,Masayoshi Iimori,ANOTHER,11,1098,PEAK,BIT解禁曲
GOLD,Air Bell,D-crew,NORMAL,5,455,PEAK,BIT解禁曲
GOLD,Air Bell,D-crew,HYPER,7,642,PEAK,BIT解禁曲
GOLD,Air Bell,D-crew,ANOTHER,8,794,PEAK,BIT解禁曲
SIRIUS,AIR RAID FROM THA UNDAGROUND,GUHROOVY,NORMAL,6,587,PEAK,BIT解禁曲
SIRIUS,AIR RAID FROM THA UNDAGROUND,GUHROOVY,HYPER,9,944,PEAK,BIT解禁曲
SIRIUS,AIR RAID FROM THA UNDAGROUND,GUHROOVY,ANOTHER,11,1225,NOTES,BIT解禁曲
SIRIUS,AIR RAID FROM THA UNDAGROUND,GUHROOVY,LEGGENDARIA,12,1503,PEAK,BIT解禁曲
8th style,airflow,Mr.T,NORMAL,3,293,SOF-LAN,初期収録曲
8th style,airflow,Mr.T,HYPER,6,402,SOF-LAN,初期収録曲
8th style,airflow,Mr.T,ANOTHER,7,721,PEAK,初期収録曲
INFINITAS,airflow -dreaming of the sky- Game Edition,ウッチーズ,NORMAL,4,,,ULTIMATE MOBILE セレクション 楽曲パック vol.1
INFINITAS,airflow -dreaming of the sky- Game Edition,ウッチーズ,HYPER,7,659,SOF-LAN,ULTIMATE MOBILE セレクション 楽曲パック vol.1
INFINITAS,airflow -dreaming of the sky- Game Edition,ウッチーズ,ANOTHER,9,911,SOF-LAN,ULTIMATE MOBILE セレクション 楽曲パック vol.1
HEROIC VERSE,AKASHIC BREAK,"BEMANI Sound Team ""TAG""",NORMAL,7,652,NOTES,楽曲パック vol.20
HEROIC VERSE,AKASHIC BREAK,"BEMANI Sound Team ""TAG""",HYPER,10,1177,NOTES,楽曲パック vol.20
HEROIC VERSE,AKASHIC BREAK,"BEMANI Sound Team ""TAG""",ANOTHER,12,1767,CHORD,楽曲パック vol.20
SPADA,ALBA -黎明-,SOUND HOLIC feat. Nana Takahashi,NORMAL,4,398,PEAK,楽曲パック vol.6
SPADA,ALBA -黎明-,SOUND HOLIC feat. Nana Takahashi,HYPER,8,820,PEAK,楽曲パック vol.6
SPADA,ALBA -黎明-,SOUND HOLIC feat. Nana Takahashi,ANOTHER,11,1600,CHORD,楽曲パック vol.6
Resort Anthem,ALBIDA,DJ YOSHITAKA,NORMAL,6,568,NOTES,BIT解禁曲
Resort Anthem,ALBIDA,DJ YOSHITAKA,HYPER,9,958,NOTES,BIT解禁曲
Resort Anthem,ALBIDA,DJ YOSHITAKA,ANOTHER,11,1393,NOTES,BIT解禁曲
DistorteD,ALFARSHEAR 双神威に廻る夢,TËЯRA,NORMAL,6,548,NOTES,BIT解禁曲
DistorteD,ALFARSHEAR 双神威に廻る夢,TËЯRA,HYPER,9,838,NOTES,BIT解禁曲
DistorteD,ALFARSHEAR 双神威に廻る夢,TËЯRA,ANOTHER,10,1043,PEAK,BIT解禁曲
EMPRESS,ALL I NEED YOUR LOVE,GUHROOVY fw. M-Project,NORMAL,6,559,SCRATCH,BIT解禁曲
EMPRESS,ALL I NEED YOUR LOVE,GUHROOVY fw. M-Project,HYPER,7,873,PEAK,BIT解禁曲
EMPRESS,ALL I NEED YOUR LOVE,GUHROOVY fw. M-Project,ANOTHER,9,1081,PEAK,BIT解禁曲
SPADA,All is Wrecked,Destron,NORMAL,5,451,PEAK,楽曲パック vol.6
SPADA,All is Wrecked,Destron,HYPER,8,768,NOTES,楽曲パック vol.6
SPADA,All is Wrecked,Destron,ANOTHER,12,1411,NOTES,楽曲パック vol.6
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,SUPER STAR 満-MITSURU-,NORMAL,6,606,PEAK,BIT解禁曲
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,SUPER STAR 満-MITSURU-,HYPER,9,944,PEAK,BIT解禁曲
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,SUPER STAR 満-MITSURU-,ANOTHER,11,1224,PEAK,BIT解禁曲
INFINITAS,ALL OK!!,Eagle feat.Kradness,NORMAL,6,,,初期収録曲
INFINITAS,ALL OK!!,Eagle feat.Kradness,HYPER,10,,,初期収録曲
INFINITAS,ALL OK!!,Eagle feat.Kradness,ANOTHER,12,1590,CHORD,初期収録曲
8th style,ALL RIGHT,RAM,NORMAL,7,501,PEAK,BIT解禁曲
8th style,ALL RIGHT,RAM,HYPER,8,720,PEAK,BIT解禁曲
8th style,ALL RIGHT,RAM,ANOTHER,10,860,PEAK,BIT解禁曲
HAPPY SKY,alla turca con passione,Twin AmadeuS,NORMAL,4,396,NOTES,BIT解禁曲
HAPPY SKY,alla turca con passione,Twin AmadeuS,HYPER,8,831,NOTES,BIT解禁曲
HAPPY SKY,alla turca con passione,Twin AmadeuS,ANOTHER,10,1057,NOTES,BIT解禁曲
Lincle,Almace,Qrispy Joybox,NORMAL,4,431,NOTES,楽曲パック vol.2
Lincle,Almace,Qrispy Joybox,HYPER,8,746,PEAK,楽曲パック vol.2
Lincle,Almace,Qrispy Joybox,ANOTHER,11,1153,PEAK,楽曲パック vol.2
SIRIUS,Almagest,Galdeira,NORMAL,6,506,NOTES,BIT解禁曲
SIRIUS,Almagest,Galdeira,HYPER,11,1117,NOTES,BIT解禁曲
SIRIUS,Almagest,Galdeira,ANOTHER,12,1764,PEAK,BIT解禁曲
CANNON BALLERS,Alpheratz,Xceon,NORMAL,3,281,PEAK,楽曲パック vol.15
CANNON BALLERS,Alpheratz,Xceon,HYPER,5,574,PEAK,楽曲パック vol.15
CANNON BALLERS,Alpheratz,Xceon,ANOTHER,9,1023,CHARGE,楽曲パック vol.15
CastHour,ALTERNATOR,"BEMANI Sound Team ""dj Hellix""",NORMAL,7,715,NOTES,楽曲パック vol.23
CastHour,ALTERNATOR,"BEMANI Sound Team ""dj Hellix""",HYPER,10,1296,CHORD,楽曲パック vol.23
CastHour,ALTERNATOR,"BEMANI Sound Team ""dj Hellix""",ANOTHER,12,1941,CHORD,楽曲パック vol.23
RESIDENT,Always We Trust In You,nora2r,NORMAL,6,630,PEAK,楽曲パック vol.25
RESIDENT,Always We Trust In You,nora2r,HYPER,9,925,PEAK,楽曲パック vol.25
RESIDENT,Always We Trust In You,nora2r,ANOTHER,12,1692,NOTES,楽曲パック vol.25
INFINITAS,Amabie,"BEMANI Sound Team ""Coyaan""",NORMAL,4,,,pop'n music セレクション 楽曲パック vol.1
INFINITAS,Amabie,"BEMANI Sound Team ""Coyaan""",HYPER,8,897,NOTES,pop'n music セレクション 楽曲パック vol.1
INFINITAS,Amabie,"BEMANI Sound Team ""Coyaan""",ANOTHER,10,1186,NOTES,pop'n music セレクション 楽曲パック vol.1
SINOBUZ,Amazing Mirage,lapix,NORMAL,5,459,PEAK,初期収録曲
SINOBUZ,Amazing Mirage,lapix,HYPER,9,931,NOTES,初期収録曲
SINOBUZ,Amazing Mirage,lapix,ANOTHER,11,1413,PEAK,初期収録曲
SINOBUZ,Amazing Mirage,lapix,LEGGENDARIA,12,1671,NOTES,初期収録曲
RESIDENT,Ambush Ace,Xceon,NORMAL,5,528,NOTES,楽曲パック vol.25
RESIDENT,Ambush Ace,Xceon,HYPER,9,959,NOTES,楽曲パック vol.25
RESIDENT,Ambush Ace,Xceon,ANOTHER,11,1477,NOTES,楽曲パック vol.25
EPOLIS,Amethyst,BlackY,NORMAL,6,643,PEAK,楽曲パック vol.28
EPOLIS,Amethyst,BlackY,HYPER,9,953,NOTES,楽曲パック vol.28
EPOLIS,Amethyst,BlackY,ANOTHER,11,1248,NOTES,楽曲パック vol.28
CastHour,AMICABLE,"BEMANI Sound Team ""Sota F.""",NORMAL,5,533,PEAK,楽曲パック vol.24
CastHour,AMICABLE,"BEMANI Sound Team ""Sota F.""",HYPER,8,811,PEAK,楽曲パック vol.24
CastHour,AMICABLE,"BEMANI Sound Team ""Sota F.""",ANOTHER,10,1242,CHORD,楽曲パック vol.24
PENDUAL,Amnolys,onoken,NORMAL,6,556,PEAK,BIT解禁曲
PENDUAL,Amnolys,onoken,HYPER,9,909,PEAK,BIT解禁曲
PENDUAL,Amnolys,onoken,ANOTHER,11,1254,CHORD,BIT解禁曲
CANNON BALLERS,Amor De Verao,かめりあ feat. ななひら,NORMAL,5,452,SCRATCH,楽曲パック vol.14
CANNON BALLERS,Amor De Verao,かめりあ feat. ななひら,HYPER,8,729,NOTES,楽曲パック vol.14
CANNON BALLERS,Amor De Verao,かめりあ feat. ななひら,ANOTHER,11,1206,PEAK,楽曲パック vol.14
BISTROVER,AMRITA -不滅ノ花-,SOUND HOLIC feat. Nana Takahashi,NORMAL,4,455,NOTES,楽曲パック vol.21
BISTROVER,AMRITA -不滅ノ花-,SOUND HOLIC feat. Nana Takahashi,HYPER,8,806,NOTES,楽曲パック vol.21
BISTROVER,AMRITA -不滅ノ花-,SOUND HOLIC feat. Nana Takahashi,ANOTHER,11,1327,NOTES,楽曲パック vol.21
CANNON BALLERS,ANAGMA,C-Show,NORMAL,5,520,NOTES,楽曲パック vol.15
CANNON BALLERS,ANAGMA,C-Show,HYPER,8,952,NOTES,楽曲パック vol.15
CANNON BALLERS,ANAGMA,C-Show,ANOTHER,10,1327,NOTES,楽曲パック vol.15
Lincle,ANAGRAMS I to Y,Mayumi Morinaga,NORMAL,4,437,PEAK,楽曲パック vol.1
Lincle,ANAGRAMS I to Y,Mayumi Morinaga,HYPER,8,863,PEAK,楽曲パック vol.1
Lincle,ANAGRAMS I to Y,Mayumi Morinaga,ANOTHER,9,1233,CHORD,楽曲パック vol.1
CANNON BALLERS,ANCHOR,"BEMANI Sound Team ""HuΣeR Vs. SYUNN""",NORMAL,7,678,NOTES,楽曲パック vol.14
CANNON BALLERS,ANCHOR,"BEMANI Sound Team ""HuΣeR Vs. SYUNN""",HYPER,10,1265,NOTES,楽曲パック vol.14
CANNON BALLERS,ANCHOR,"BEMANI Sound Team ""HuΣeR Vs. SYUNN""",ANOTHER,12,1830,NOTES,楽曲パック vol.14
SPADA,Ancient Scapes,Durandal,NORMAL,6,637,PEAK,楽曲パック vol.6
SPADA,Ancient Scapes,Durandal,HYPER,10,1254,PEAK,楽曲パック vol.6
SPADA,Ancient Scapes,Durandal,ANOTHER,12,1931,NOTES,楽曲パック vol.6
SPADA,Ancient Scapes,Durandal,LEGGENDARIA,12,2285,NOTES,楽曲パック vol.6
HEROIC VERSE,And-RoiD,Fujishiro feat.KNA,NORMAL,4,384,PEAK,楽曲パック vol.20
HEROIC VERSE,And-RoiD,Fujishiro feat.KNA,HYPER,7,682,PEAK,楽曲パック vol.20
HEROIC VERSE,And-RoiD,Fujishiro feat.KNA,ANOTHER,9,985,CHORD,楽曲パック vol.20
IIDX RED,ANDROMEDA,Sota Fujimori,NORMAL,4,512,PEAK,初期収録曲
IIDX RED,ANDROMEDA,Sota Fujimori,HYPER,9,1109,NOTES,初期収録曲
IIDX RED,ANDROMEDA,Sota Fujimori,ANOTHER,11,1568,NOTES,初期収録曲
GOLD,ANDROMEDA II,Sota Fujimori,NORMAL,5,534,NOTES,BIT解禁曲
GOLD,ANDROMEDA II,Sota Fujimori,HYPER,10,1084,PEAK,BIT解禁曲
CastHour,ANEMONE,"BEMANI Sound Team ""HuΣeR × Yvya"" feat.紫村 花澄",NORMAL,4,403,NOTES,楽曲パック vol.24
CastHour,ANEMONE,"BEMANI Sound Team ""HuΣeR × Yvya"" feat.紫村 花澄",HYPER,7,839,NOTES,楽曲パック vol.24
CastHour,ANEMONE,"BEMANI Sound Team ""HuΣeR × Yvya"" feat.紫村 花澄",ANOTHER,10,1175,CHORD,楽曲パック vol.24
CastHour,Angel's Ladder,xi,NORMAL,6,617,PEAK,楽曲パック vol.24
CastHour,Angel's Ladder,xi,HYPER,10,1257,NOTES,楽曲パック vol.24
CastHour,Angel's Ladder,xi,ANOTHER,12,1800,NOTES,楽曲パック vol.24
copula,Angelic Jelly,t+pazolite,NORMAL,6,592,NOTES,BIT解禁曲
copula,Angelic Jelly,t+pazolite,HYPER,9,1019,NOTES,BIT解禁曲
copula,Angelic Jelly,t+pazolite,ANOTHER,11,1447,PEAK,BIT解禁曲
Rootage,Angels & Demons,月代 彩,NORMAL,5,500,PEAK,楽曲パック vol.17
Rootage,Angels & Demons,月代 彩,HYPER,8,897,PEAK,楽曲パック vol.17
Rootage,Angels & Demons,月代 彩,ANOTHER,10,1227,CHORD,楽曲パック vol.17
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",朱雀,NORMAL,6,637,PEAK,BIT解禁曲
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",朱雀,HYPER,10,1291,PEAK,BIT解禁曲
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",朱雀,ANOTHER,12,1603,CHORD,BIT解禁曲
DJ TROOPERS,"Anisakis -somatic mutation type""Forza""-",朱雀,LEGGENDARIA,12,1956,CHORD,BIT解禁曲
Resort Anthem,Answer,星野奏子,NORMAL,5,463,NOTES,BIT解禁曲
Resort Anthem,Answer,星野奏子,HYPER,7,738,PEAK,BIT解禁曲
Resort Anthem,Answer,星野奏子,ANOTHER,9,1142,NOTES,BIT解禁曲
Resort Anthem,ANTHEM LANDING,DJムラサメ,NORMAL,6,555,PEAK,初期収録曲
Resort Anthem,ANTHEM LANDING,DJムラサメ,HYPER,10,1164,NOTES,初期収録曲
Resort Anthem,ANTHEM LANDING,DJムラサメ,ANOTHER,11,1258,PEAK,初期収録曲
CANNON BALLERS,Antigravity,t+pazolite,NORMAL,6,558,NOTES,楽曲パック vol.15
CANNON BALLERS,Antigravity,t+pazolite,HYPER,9,1001,NOTES,楽曲パック vol.15
CANNON BALLERS,Antigravity,t+pazolite,ANOTHER,12,1467,NOTES,楽曲パック vol.15
copula,AO-1,電龍,NORMAL,7,671,NOTES,楽曲パック vol.10
copula,AO-1,電龍,HYPER,10,1087,NOTES,楽曲パック vol.10
copula,AO-1,電龍,ANOTHER,12,1456,PEAK,楽曲パック vol.10
BISTROVER,apo:llioth,Juggernaut.,NORMAL,5,616,NOTES,SOUND VOLTEX セレクション 楽曲パック vol.1
BISTROVER,apo:llioth,Juggernaut.,HYPER,9,1065,NOTES,SOUND VOLTEX セレクション 楽曲パック vol.1
BISTROVER,apo:llioth,Juggernaut.,ANOTHER,11,1511,CHORD,SOUND VOLTEX セレクション 楽曲パック vol.1
SINOBUZ,Apocalypse,Morrigan feat. リリィ,NORMAL,5,580,NOTES,BIT解禁曲
SINOBUZ,Apocalypse,Morrigan feat. リリィ,HYPER,9,1081,NOTES,BIT解禁曲
SINOBUZ,Apocalypse,Morrigan feat. リリィ,ANOTHER,12,1953,CHORD,BIT解禁曲
DistorteD,Apocalypse ～dirge of swans～,Zektbach,NORMAL,5,480,PEAK,初期収録曲
DistorteD,Apocalypse ～dirge of swans～,Zektbach,HYPER,8,981,PEAK,初期収録曲
DistorteD,Apocalypse ～dirge of swans～,Zektbach,ANOTHER,11,1270,PEAK,初期収録曲
EMPRESS,Arabian Rave Night,dj MAX STEROID,NORMAL,6,655,PEAK,BIT解禁曲
EMPRESS,Arabian Rave Night,dj MAX STEROID,HYPER,10,1161,NOTES,BIT解禁曲
EMPRESS,Arabian Rave Night,dj MAX STEROID,ANOTHER,11,1605,NOTES,BIT解禁曲
EMPRESS,Arabian Rave Night,dj MAX STEROID,LEGGENDARIA,12,1991,NOTES,BIT解禁曲
CANNON BALLERS,Arca,"BEMANI Sound Team ""Akhuta Works""",NORMAL,5,485,PEAK,BIT解禁曲
CANNON BALLERS,Arca,"BEMANI Sound Team ""Akhuta Works""",HYPER,9,975,NOTES,BIT解禁曲
CANNON BALLERS,Arca,"BEMANI Sound Team ""Akhuta Works""",ANOTHER,12,1606,NOTES,BIT解禁曲
copula,Arcana,Maozon,NORMAL,6,605,NOTES,初期収録曲
copula,Arcana,Maozon,HYPER,8,913,NOTES,初期収録曲
copula,Arcana,Maozon,ANOTHER,10,1172,NOTES,初期収録曲
CastHour,Ariah,satella feat.藍月なくる,NORMAL,4,384,PEAK,楽曲パック vol.23
CastHour,Ariah,satella feat.藍月なくる,HYPER,7,733,NOTES,楽曲パック vol.23
CastHour,Ariah,satella feat.藍月なくる,ANOTHER,10,1060,NOTES,楽曲パック vol.23
CastHour,Arkadia,Hommarju ft. Mayumi Morinaga,NORMAL,5,584,PEAK,楽曲パック vol.24
CastHour,Arkadia,Hommarju ft. Mayumi Morinaga,HYPER,9,1071,NOTES,楽曲パック vol.24
CastHour,Arkadia,Hommarju ft. Mayumi Morinaga,ANOTHER,12,1872,NOTES,楽曲パック vol.24
CANNON BALLERS,Around the Future,Maozon vs. C-Show,NORMAL,6,570,PEAK,初期収録曲
CANNON BALLERS,Around the Future,Maozon vs. C-Show,HYPER,9,942,PEAK,初期収録曲
CANNON BALLERS,Around the Future,Maozon vs. C-Show,ANOTHER,11,1385,PEAK,初期収録曲
HEROIC VERSE,Artist,CANVAS feat. Quimär,NORMAL,7,665,NOTES,楽曲パック vol.19
HEROIC VERSE,Artist,CANVAS feat. Quimär,HYPER,10,1252,PEAK,楽曲パック vol.19
HEROIC VERSE,Artist,CANVAS feat. Quimär,ANOTHER,12,1923,NOTES,楽曲パック vol.19
BISTROVER,As You Want,Maozon,NORMAL,4,437,PEAK,楽曲パック vol.22
BISTROVER,As You Want,Maozon,HYPER,8,750,PEAK,楽曲パック vol.22
BISTROVER,As You Want,Maozon,ANOTHER,10,1063,PEAK,楽曲パック vol.22
tricoro,Ascalon,Qrispy Joybox,NORMAL,6,649,PEAK,楽曲パック vol.4
tricoro,Ascalon,Qrispy Joybox,HYPER,9,1031,NOTES,楽曲パック vol.4
